Name,Price,Offer,PreviousPrice,Retailer,DateScraped
A Winter's Tale Amontillado Sherry 75Cl,12.5,WAS 14.49 NOW 12.50 ,14.49,SuperValu,20190918
Barossa Valley Estate Cabernet Sauvignon 75Cl,13.0,WAS 16.99 NOW 13 ,16.99,SuperValu,20190918
Barossa Valley Estate Shiraz 75Cl,13.0,WAS 16.99 NOW 13 ,16.99,SuperValu,20190918
Beaujolais Villages Andre Goichot 75Cl,10.0,WAS 12.99 NOW 10 ,12.99,SuperValu,20190918
Bourgogne Pinot Noir Naudin Tiercin 75Cl,12.0,WAS 14.99 NOW 12 ,14.99,SuperValu,20190918
Carling 4 Pack Cans 500Ml,4.5,WAS 5.50 NOW 4.50 SAVE 1,5.5,SuperValu,20190918
Carling Cans 8 Pack 500Ml,9.5,WAS 10.50 NOW 9.50 SAVE 1,10.5,SuperValu,20190918
Coors Light Cans 8 Pack 500Ml,12.0,WAS 13.50 NOW 12 ,13.5,SuperValu,20190918
Franciscan Well Archway Lager 4 Pack 330Ml,5.0,WAS 8 NOW 5 SAVE 3,8.0,SuperValu,20190918
Guinness Draught Cans 8 Pack 500Ml,12.0,WAS 14.50 NOW 12 ,14.5,SuperValu,20190918
12 Acres Pale Ale 500Ml,3.29,,,SuperValu,20190918
12 Acres Single Malt Lager 500Ml,3.29,,,SuperValu,20190918
9 White Deer Brewery Stag Saor Kolsch Style 500Ml,3.59,,,SuperValu,20190918
Blacks 1601 Lager 500Ml,3.29,,,SuperValu,20190918
Blacks Superdry 500Ml,3.0,,,SuperValu,20190918
Bulmers Bottle's 20 Pack 300Ml,18.0,WAS 20 NOW 18 SAVE 2,20.0,SuperValu,20190918
Bulmers Cans 8 Pack 500Ml,12.0,WAS 13.50 NOW 12 ,13.5,SuperValu,20190918
Bulmers Light 8 Pack Cans 500Ml,12.0,WAS 13.50 NOW 12 ,13.5,SuperValu,20190918
Druids Celtic Cider Can 8 Pack 500Ml,11.0,WAS 13 NOW 11 SAVE 2,13.0,SuperValu,20190918
West Coast Cooler Rose 750Ml,5.69,WAS 6.75 NOW 5.69 ,6.75,SuperValu,20190918
Absolut Blue Vodka 70Cl,21.0,WAS 27.85 NOW 21 ,27.85,SuperValu,20190918
Absolut Citron 70Cl,21.0,WAS 26.30 NOW 21 ,26.3,SuperValu,20190918
Absolut Grapefruit 70Cl,21.0,WAS 26 NOW 21 SAVE 5,26.0,SuperValu,20190918
Absolut Raspberri 70Cl,21.0,WAS 26.30 NOW 21 ,26.3,SuperValu,20190918
Absolut Vanilla 70Cl,21.0,WAS 26 NOW 21 SAVE 5,26.0,SuperValu,20190918
Absolut Vodka 35Cl,11.5,WAS 14.60 NOW 11.50 ,14.6,SuperValu,20190918
Eristoff Original Vodka 70Cl,19.0,WAS 23.20 NOW 19 ,23.2,SuperValu,20190918
FinlandiaClassic Vodka 70Cl,22.0,WAS 27.50 NOW 22 ,27.5,SuperValu,20190918
Smirnoff Red Label Vodka 70Cl,21.0,WAS 26 NOW 21 SAVE 5,26.0,SuperValu,20190918
Huzzar Vodka 1L,32.2,,,SuperValu,20190918
Huzzar Vodka 70Cl,20.0,,,SuperValu,20190918
Huzzar Vodka 350Ml,12.05,,,SuperValu,20190918
Huzzar Vodka 200Ml,6.65,,,SuperValu,20190918
Ketel One Vodka 70Cl,40.0,,,SuperValu,20190918
Smirnoff Red Label Vodka 35Cl,12.0,,,SuperValu,20190918
Smirnoff Vodka 20Cl,7.0,,,SuperValu,20190918
Smirnoff Red Label Vodka 1L,34.0,,,SuperValu,20190918
Black Bush 70Cl,26.0,WAS 33 NOW 26 SAVE 7,33.0,SuperValu,20190918
Bushmills Gift Tube 70Cl,20.0,WAS 28.29 NOW 20 ,28.29,SuperValu,20190918
Bushmills Irish Whiskey 70Cl,20.0,WAS 28.29 NOW 20 ,28.29,SuperValu,20190918
Dunphys Irish Whiskey 70Cl,21.0,WAS 24.55 NOW 21 ,24.55,SuperValu,20190918
Jameson Irish Whiskey 200Ml,9.75,WAS 11.80 NOW 9.75 ,11.8,SuperValu,20190918
Paddy Irish Whiskey 70Cl,22.0,WAS 27.85 NOW 22 ,27.85,SuperValu,20190918
Powers Gold Label 200Ml,9.0,WAS 10.70 NOW 9 ,10.7,SuperValu,20190918
Powers Gold Irish Whiskey 1L,35.0,WAS 45 NOW 35 SAVE 10,45.0,SuperValu,20190918
Tullamore Dew Whiskey 70Cl,24.0,WAS 31 NOW 24 SAVE 7,31.0,SuperValu,20190918
Bushmills 10 Year Old Malt Whiskey 70Cl,48.0,,,SuperValu,20190918
